acid,epoxide,tg
O=C(O)CCN(CCC(=O)O)C(=O)C(=O)NCCCn1cnc2ccccc21,Cc1cc(OCC2CO2)ccc1NC(=O)c1cc(CC(C)C)nc(OCC2CO2)c1,380.806969947477
CCCN(CC(=O)O)c1ncc(C(=O)O)cn1,COC(=O)CN(C)CCNC(=O)c1cccc(OCC2CO2)c1OCC1CO1,323.7962317183309
O=C(O)COCC(COCC(=O)O)NC(=O)Cc1cccc(C2CC2)c1,Cc1cccc(C(=O)NCCNCC(=O)N(CC2CO2)CC2CO2)c1C,362.67628821869295
CC(C)(Oc1ccc2c(c1)CCC(=Cc1ccc(C(=O)O)cc1)C2=O)C(=O)O,COc1ccccc1CN1CCN(C(=O)c2ccc(OCC3CO3)cc2OCC2CO2)CC1,376.3714217579964
CCN(Cc1ccc(OC)c(OC)c1)C(=O)CN(CCCOCC(=O)O)CCOCC(=O)O,C=CCCCCNC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,299.5802428543477
COc1ccc(OCCOc2c(COCC(=O)O)cc(OC)cc2COCC(=O)O)cc1,O=C(c1cc(OCC2CO2)cc(OCC2CO2)n1)N1CCCN(c2ccccc2)CC1,372.44029048201133
Cc1ccccc1OCCN(C)C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,Cc1ccc(NC(=O)c2ccc3oc(OCC4CO4)nc3c2)cc1OCC1CO1,412.4501959645728
NC(CCCCCCC(=O)O)C(=O)O,Cc1ccc(NC(=O)N(CC2CO2)CC2CO2)cc1N1CCCC1,338.129083363329
CC1CCC(N(C)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)CC1,CCCCn1cc(C(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)c(C)n1,380.25591652390256
O=C(O)CCOc1ccc(NC(=O)CC2(CC(=O)O)CCCCC2)cc1,COc1cc(OCC2CO2)ncc1C(=O)N1CCN(Cc2ccc(OCC3CO3)cc2)CC1,377.56255330897176
COC(=O)COc1ccc(NC(=O)C(=O)N(CCOCC(=O)O)CCOCC(=O)O)cc1,CCNC(=O)c1cccc(NC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,357.4522384384227
Cn1ccc(NC(=O)C(CCC(=O)O)CCC(=O)O)n1,O=C(NCC1CCN(Cc2ccccc2)CC1)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,393.3208556683502
CCN(CC)C(=O)CN(CCCOCC(=O)O)CCOCC(=O)O,CCc1ccccc1NN=Cc1cccc(OCC2CO2)c1OCC1CO1,302.09838688971746
CC1(C(=O)O)CCN(CC(=O)Nc2cccc(C(=O)O)c2)C1,CC(NC(=O)CCC(=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1)c1ccccc1,368.9633281663333
O=C(O)CCNC(=O)CN1CCN(C(=O)c2ncccc2OCCC(=O)O)CC1,COc1ccc(Cn2cc(C(=O)NCCc3ccc(OCC4CO4)c(OCC4CO4)c3)cn2)cc1,363.0204486217019
O=C(O)CCN(CCC(=O)O)C(=O)C(=O)NCCCN1CCCCC1,COc1cccc(CC(=O)NC(C)Cc2ccc(OCC3CO3)c(OCC3CO3)c2)c1,340.845083052464
O=C(O)COCC(COCC(=O)O)NC(=O)CCc1ccc(O)cc1,O=C(CCOCC1CO1)N1CCC(CCCOCC2CO2)CC1,347.0072646523202
O=C(O)CC1CCCN(Cc2ccc(C(=O)O)cc2)C1,CCOc1cc(C=CC(=O)c2ccccc2OCC2CO2)ccc1OCC1CO1,365.7648550651405
CN(CCCNC(=O)C1CCCCCC1)CC(=O)N(CCC(=O)O)CCC(=O)O,O=Cc1cccc(C(=O)OCC(=O)N(CC2CO2)CC2CO2)c1,373.54786651084464
Cn1ccc(CNCCCNC(=O)C(CCC(=O)O)CCC(=O)O)cc1=O,C(=NOCc1cccnc1)c1ccc(OCC2CO2)c(OCC2CO2)c1,333.46338064270884
