acid,epoxide,tg,std
Cc1c(NC(=O)CC2(CC(=O)O)CCC2)cccc1C(=O)O,O=C(O)c1cccc(C#Cc2cccc(NC(=O)N(CC3CO3)CC3CO3)c2)c1,492.29,35.2468
Cn1c(C(=O)NC(COCC(=O)O)COCC(=O)O)cc2ccccc21,CN(CC(=O)NCCCCCCC1CO1)C(=O)C1CO1,406.5411,29.6324
O=C(O)CCN(CCC(=O)O)C(=O)Nc1cccc(COCc2ccco2)c1,CC(O)CNC(=O)c1ccc(OCC(=O)N(CC2CO2)CC2CO2)cc1,409.0106,22.3365
O=C(O)Cc1cccc(C=C2CCc3c2nc2ccccc2c3C(=O)O)c1,CCCN(Cc1ccc(C#N)cc1)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,473.9688,19.2073
Cc1cc(C(=O)O)cc(C(=O)O)c1,O=C(OCC(=O)N1CCN(C(=O)C2CC2)CC1)c1ccc(OCC2CO2)cc1OCC1CO1,469.9715,34.2247
O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CC(=O)Nc2cccc(Oc3ccccc3)c2)c1=O,CCOc1nc(C)ccc1C(=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,472.4211,22.831
O=C(O)COCC1(COCC(=O)O)CN(Cc2ccccc2)C1,O=C(c1c(OCC2CO2)cccc1OCC1CO1)N1CCC(Nc2ccccn2)CC1,418.2271,23.5676
O=C(O)CCN(CCC(=O)O)C(=O)CNC(=O)c1ccc2c(c1)OCO2,c1ccc(COc2ccc(CNCCc3ccc(OCC4CO4)cc3)c(OCC3CO3)c2)cc1,419.1292,40.6993
O=C(O)CCC(CCC(=O)O)C(=O)NCC1CC(NC(=O)C2CC2)C1,C=CCNC(=O)Nc1ccc(NC(=O)C=Cc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,431.0705,13.3702
Cc1ccccc1NC(=O)Cn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,CCOc1ccccc1CNC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,463.4417,23.3821
COCc1cncc(C(=O)NCCNCC(=O)N(CCC(=O)O)CCC(=O)O)c1,c1cc(CN2CCC(CCOCC3CO3)CC2)ccc1COCC1CO1,374.0719,11.2395
CN1CCC(=O)Nc2cc(C(=O)N(CCC(=O)O)CCC(=O)O)ccc21,CCOc1ccc(NC(=O)CN(CCOCC2CO2)CCOCC2CO2)cc1,411.5856,25.4175
CCc1ccc(CCC(=O)NC(C)(COCC(=O)O)COCC(=O)O)cc1,Cc1cc(OCC2CO2)nc2ccc(NC(=O)c3ccc(OCC4CO4)cn3)cc12,411.2425,22.6516
COc1ccc(C(=O)NCC2(COCC(=O)O)CCC2)cc1OCCOCC(=O)O,COc1ccc(C)cc1CCNC(=O)c1c(OCC2CO2)cccc1OCC1CO1,401.1824,17.1421
Cc1ccc(N2CCC(C(=O)Nc3ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc3)CC2)nc1,c1ccc(CN(CC2CO2)CC2CO2)cc1,427.6817,25.6808
