acid,epoxide,tg
CC(COCC(=O)O)(COCC(=O)O)NC(=O)CCC(=O)c1ccccc1,CC(C)NC(=O)c1ccc(NC(=O)Nc2ccc(COCC3CO3)c(COCC3CO3)c2)cc1,361.0831
O=C(O)CCCOCC(=O)NCC1CC(NCC(=O)NCCC(=O)O)C1,O=C(CNC(=O)c1ccc(CN2CCC(COCC3CO3)CC2)cc1)NCCOCC1CO1,322.2473
O=C(O)COCCOCCOc1cccc2c(OCCOCCOCC(=O)O)cccc12,O=C(NCc1ccc(OCC2CO2)c(OCC2CO2)c1)c1cccnc1N1CCCC1,331.1939
CNC(=O)c1ccc(C)c(NC(=O)N(CCC(=O)O)CCC(=O)O)c1,O=C(NCCCCO)c1cccc(OCC2CO2)c1OCC1CO1,359.7642
O=C(O)COCCCCCNC(=O)c1cccc(C(=O)NCCCCCOCC(=O)O)c1O,O=C(Nc1ccc(Nc2ncccn2)cc1)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1,362.8024
COc1ccc(C(=O)N2CCCC2)cc1NC(=O)N(CCC(=O)O)CCC(=O)O,Cc1ccc(OCCNC(COCC2CO2)COCC2CO2)cc1,357.5126
CCOC1CC(NC(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)C1,O=C(CCCn1cccn1)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,382.7591
O=C(O)c1cccc(Cn2cc(CN3CCC(C(=O)O)CC3)nn2)c1,Nc1ccc(C(=O)Nc2cccc3ccc(OCC4CO4)cc23)c(OCC2CO2)c1,378.9038
Cc1cccc(C(=O)N(CCC(=O)O)CC(=O)O)n1,Cc1ccc(OCC(=O)OCC(=O)N(CC2CO2)CC2CO2)c(C)c1,379.3029
CCCNC(=O)CCC(=O)NCCNCC(=O)N(CCC(=O)O)CCC(=O)O,O=C(NCc1ccccc1OCC1CO1)c1cc(Cc2ccccc2)ccc1OCC1CO1,344.3488
Cn1ccnc1CNCCCNC(=O)C(CCC(=O)O)CCC(=O)O,O=C(NCCCOC1CCCCC1)c1cccc(OCC2CO2)c1OCC1CO1,315.7071
O=C(O)CN1CCC(c2ccccc2C(=O)O)CC1,O=C(NCc1ccc(C(=O)N2CCCCC2)cc1)c1cccc(OCC2CO2)c1OCC1CO1,385.7547
Cc1nc(C(=O)N(C)C)ccc1C(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,Cc1cc(OCC2CO2)c(C(C)C)cc1NC(=O)c1cncc(OCC2CO2)c1,454.5925
CCOc1cc(C)ccc1NCC(=O)N(CCC(=O)O)CCC(=O)O,CC(OC(=O)c1ccc(OCC2CO2)cc1)C(=O)NC(=O)NCC1CO1,403.3792
N#Cc1ccc(CN2CC(CNC(=O)C(CCC(=O)O)CCC(=O)O)C2)cc1,CCC(C)(C)OCC(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,350.5506
CCc1cc(OCCOCC(=O)O)ccc1OCCOCC(=O)O,CC(CCCC1CO1)NC(=O)NCc1ccc(OCC2CO2)cc1,329.1971
CCCCN(CCOCC(=O)O)C(=O)COCC(=O)O,CC(=O)CCCC(=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,322.8468
COc1cc(CNCCCCCC(=O)O)cc(CCC(=O)O)c1O,c1cc(OCC2CO2)ncc1CN1CCc2ccc(OCC3CO3)cc2C1,346.2477
Cc1cccc(C)c1OCCCn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,COc1cc(NC(=O)CN(C)CC(=O)N(CC2CO2)CC2CO2)cc(OC)c1,401.2952
Cc1cccc(C)c1OCCC(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1,O=C(c1cccc(OCC2CO2)c1OCC1CO1)N1CCN(Cc2ccco2)CC1,384.8041
O=C(O)COCCCN(CCOCC(=O)O)Cc1cccc(O)c1,COC(=O)c1cc(C)cc(C(=O)Nc2cc(COCC3CO3)cc(COCC3CO3)c2)c1,349.6993
COc1cc(CNC(=O)C(CCC(=O)O)CCC(=O)O)ccc1OCCO,Cc1cccc(NC(=O)COC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1C,354.6228
COc1ccc2c(c1)CCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC2,COc1ccc(C(=O)N(CC2CO2)CC2CO2)c(OCC(C)C)c1,357.9456
CCCOc1ccc(CNCCCC(C(=O)O)C(=O)O)cc1OC,CC1CCN(c2cccc(NC(=O)c3ccc(OCC4CO4)cc3OCC3CO3)c2)CC1,379.0567
CC(C)Oc1c(N)cccc1C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O,Cc1cc(NC(=O)c2cc(OCC3CO3)c3ccccc3c2)nc(OCC2CO2)c1,393.6359
CN(CC(=O)Nc1ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc1)C1CCC1,CCOC(=O)CCNC(=O)c1ccc(C)c(OCC2CO2)c1OCC1CO1,369.8715
Cc1ccc(C)c(CN(CCCOCC(=O)O)CCOCC(=O)O)c1,COC(=O)c1ccc(OCC2CO2)c(NC(=O)c2ncc(C)cc2OCC2CO2)c1,315.8220
COCc1ccccc1C(=O)NCCNCC(=O)N(CCC(=O)O)CCC(=O)O,O=C(NCc1ccc(OCC2CO2)cc1OCC1CO1)c1cccc(OC2CCCC2)c1,331.9044
NC(CCCCC(=O)O)C(=O)NCc1ccccc1OCCC(=O)O,CCOc1ccccc1NC(=O)COC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,377.7291
CC(C)(COCC(=O)O)N1CCN(C(=O)COc2ccc(COCC(=O)O)cc2)CC1,COC(=O)c1cc(CNC(=O)C(=O)N(CC2CO2)CC2CO2)ccc1OC,374.9704
O=C(O)CCCCC(=O)N1CCC(CC(=O)O)CC1,CC(C)Oc1ccc(OCC(=O)N(CC2CO2)CC2CO2)cc1,344.4557
Cc1oc(C(=O)Nc2ccc(OCCOCC(=O)O)cc2)cc1COCC(=O)O,COc1cc(C=CC(=O)c2ccc(C)cc2OCC2CO2)ccc1OCC1CO1,343.2723
O=C(O)CCN(CCC(=O)O)C(=O)C(=O)NCCN1CCCc2ccccc21,CCc1ccc(C(=O)N(CC2CO2)CC2CO2)c(O)c1,399.7493
Cc1ccc(NC(=O)CCC(=O)O)c(C(=O)O)c1,CC(C)(C)CNC(=O)c1ccc(C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,402.2121
